server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;2;2.0;30.0;3;17;29.0;28.0
2;2;2.0;12.0;1;19;10.0;10.0
3;2;2.0;28.0;2;1;27.0;26.0
4;2;2.0;19.0;0;11;16.0;17.0
5;6;6.0;18.0;6;3;13.0;12.0
7;6;6.0;33.0;7;14;26.0;27.0
8;6;6.0;20.0;9;20;14.0;14.0
9;6;6.0;29.0;5;24;25.0;23.0
10;6;6.0;27.0;4;19;21.0;21.0
11;6;6.0;19.0;8;24;11.0;13.0
18;8;8.0;17.0;11;16;4.0;9.0
19;8;8.0;34.0;10;21;25.0;26.0
13;9;9.0;18.0;15;12;10.0;9.0
15;9;9.0;10.0;16;26;2.0;1.0
15;10;10.0;12.0;17;10;2.0;2.0
17;10;10.524761155076659;32.52476115507666;18;0;24.0;22.0
15;9;12.0;37.0;13;8;27.0;25.0
2;9;12.0;34.0;14;12;22.0;22.0
6;9;13.76861988968991;22.76861988968991;12;20;6.0;8.999999999999998
16;13;13.930617779462054;30.930617779462054;20;1;16.0;17.0
1;15;15.0;40.0;21;11;22.0;25.0
14;15;15.345715519426005;33.34571551942601;22;22;17.0;18.000000000000004
12;16;16.580387345550673;35.580387345550676;24;0;20.0;19.000000000000004
18;17;17.0;32.0;25;25;16.0;15.0
13;16;18.0;33.0;23;3;17.0;15.0
5;21;21.0;38.0;27;7;17.0;17.0
11;21;21.0;33.0;28;8;13.0;12.0
8;21;21.0;22.0;26;28;2.0;1.0
8;22;22.0;32.0;30;17;8.0;10.0
4;22;22.0;29.0;29;21;7.0;7.0
6;23;23.0;26.0;32;28;2.0;3.0
6;23;26.0;38.0;31;16;11.0;12.0
10;23;27.0;49.0;35;12;21.0;22.0
3;28;28.0;38.0;45;15;10.0;10.0
9;26;29.0;51.0;38;20;21.0;22.0
4;23;29.0;41.0;36;1;10.0;12.0
0;23;30.0;43.0;37;5;14.0;13.0
16;26;30.930617779462054;47.930617779462054;39;13;19.0;17.0
18;26;32.0;60.0;40;19;28.0;28.0
8;26;32.0;52.0;41;2;20.0;20.0
17;28;32.52476115507666;35.52476115507666;42;20;4.0;3.0
13;28;33.0;49.0;44;26;14.0;16.0
11;31;33.0;62.0;46;9;28.0;29.0
7;31;33.0;56.0;47;21;21.0;23.0
14;32;33.34571551942601;39.34571551942601;48;19;6.0;6.0
19;33;34.0;42.0;49;27;9.0;8.0
2;33;34.0;38.0;51;3;4.0;4.0
17;35;35.52476115507666;43.52476115507666;52;27;9.0;8.0
12;33;35.580387345550676;36.580387345550676;50;28;3.0;1.0
12;36;36.580387345550676;54.580387345550676;53;6;20.0;18.0
15;36;37.0;40.0;56;10;2.0;3.0
6;36;38.0;67.0;54;19;29.0;29.0
5;36;38.0;54.0;55;23;18.0;16.0
2;23;38.0;46.0;33;21;9.0;8.0
3;37;38.0;65.0;57;9;28.0;27.0
14;39;39.34571551942601;55.34571551942601;58;7;16.0;16.0
1;40;40.0;52.0;61;24;11.0;12.0
15;40;40.0;60.0;59;29;21.0;20.0
4;41;41.0;59.0;62;29;17.0;18.0
19;42;42.0;54.0;63;19;11.0;12.0
0;40;43.0;57.0;60;19;16.0;14.0
17;23;43.52476115507666;68.52476115507666;34;10;23.0;25.0
2;45;46.0;67.0;64;12;22.0;21.0
16;47;47.930617779462054;64.93061777946205;67;11;17.0;17.0
13;48;49.0;69.0;73;7;18.0;20.0
10;49;49.0;60.0;86;0;11.0;11.0
9;48;51.0;75.0;76;2;22.0;24.0
1;51;52.0;70.0;91;25;20.0;18.0
8;50;52.0;81.0;88;6;29.0;29.0
5;54;54.0;73.0;100;5;20.0;19.0
19;45;54.0;62.0;65;20;10.0;8.0
12;52;54.580387345550676;66.58038734555068;95;18;12.0;12.0
14;47;55.34571551942601;56.34571551942601;66;17;4.0;1.0
7;47;56.0;62.0;68;8;6.0;6.0
14;48;56.34571551942601;67.34571551942601;70;4;10.0;11.0
4;48;59.0;78.0;71;29;17.0;19.0
18;48;60.0;83.0;72;12;22.0;23.0
10;48;60.0;87.0;75;17;28.0;27.0
19;62;62.0;73.0;109;27;9.0;11.0
7;48;62.0;82.0;77;6;20.0;20.0
16;63;64.93061777946205;74.93061777946205;116;17;10.0;10.0
3;63;65.0;86.0;113;20;22.0;21.0
12;64;66.58038734555068;90.58038734555068;117;9;25.0;24.0
6;67;67.0;75.0;126;20;6.0;8.0
2;64;67.0;83.0;121;18;17.0;16.0
0;48;67.11226260757456;83.11226260757456;78;19;16.0;16.0
14;48;67.34571551942601;74.34571551942601;79;19;6.0;7.0
17;49;68.52476115507666;82.52476115507666;81;19;14.0;14.0
13;49;69.0;78.0;84;12;10.0;9.0
1;70;70.0;95.0;140;18;26.0;25.0
5;70;73.0;96.0;139;21;24.0;23.0
19;72;73.0;87.0;152;2;15.0;14.0
11;70;73.52423088208066;74.52423088208066;138;21;3.0;1.0
14;74;74.34571551942601;81.34571551942601;155;11;8.0;7.0
11;72;74.52423088208066;86.52423088208066;145;24;11.0;12.0
16;49;74.93061777946205;104.93061777946205;87;25;29.0;30.0
6;50;75.0;104.0;89;22;29.0;29.0
9;51;75.0;83.0;93;13;7.0;8.0
13;52;78.0;91.0;98;10;16.0;13.0
4;52;78.0;96.0;99;29;17.0;18.0
8;80;81.0;101.0;158;2;20.0;20.0
14;79;81.34571551942601;87.34571551942601;156;21;6.0;6.0
7;81;82.0;100.0;160;9;19.0;18.0
17;81;82.52476115507666;88.52476115507666;162;26;9.0;6.0
18;56;83.0;98.0;101;0;12.0;15.0
9;57;83.0;103.0;102;11;20.0;20.0
2;58;83.0;107.0;103;17;29.0;24.0
0;61;83.11226260757456;85.11226260757456;106;24;1.0;2.0
0;62;85.11226260757456;116.11226260757456;108;7;27.0;31.0
3;86;86.0;95.0;177;0;11.0;9.0
